"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.78726400744613,0.807,0.023,0,"0","Cnga4"
0,5.74058820688691,0.787,0.022,0,"0","Slc1a2"
0,5.73093077223143,0.791,0.023,0,"0","Gm11992"
0,5.63785849332467,0.965,0.045,0,"0","Adcy3"
0,5.55529644046828,0.84,0.026,0,"0","Kcnc4"
0,5.55118873514688,0.78,0.026,0,"0","Ano2"
0,5.51811489591207,0.609,0.017,0,"0","Pth2"
0,5.45808370551661,0.949,0.046,0,"0","Ric8b"
0,5.39257500190326,0.803,0.03,0,"0","Cngb1"
0,5.24514684746718,0.93,0.039,0,"0","Cnga2"
1.28934299219759e-182,5.29379341425548,0.365,0.011,3.23999000509333e-178,"1","Acaa1b"
1.87097234385397e-110,4.9642303640912,0.252,0.009,4.70156640287064e-106,"1","Gdpd2"
9.8572672783455e-230,4.24663199595027,0.475,0.024,2.47703269437544e-225,"1","Serpinb5"
1.18133763728907e-182,4.23269010226548,0.404,0.028,2.9685833487437e-178,"1","Tns4"
0,4.1898425568041,0.822,0.069,0,"1","Ccdc3"
2.08311106366082e-139,4.00432327764067,0.316,0.022,5.23464979187327e-135,"1","Lgr6"
3.24258256040934e-120,3.9778469995493,0.285,0.022,8.14828571605262e-116,"1","Fam110c"
0,3.89466361701326,0.76,0.085,0,"1","Cdo1"
2.70043248687365e-262,3.83496734794193,0.545,0.04,6.78591679626479e-258,"1","Col17a1"
0,3.8330556451119,0.938,0.11,0,"1","Sfn"
1.93649400482522e-157,8.85362412321595,0.306,0.002,4.86621578472529e-153,"2","Klrb1c"
4.4293277298252e-137,8.80599825256257,0.282,0.001,1.11304576522778e-132,"2","Ncr1"
2.87010058793687e-181,8.5859282432658,0.357,0.002,7.21227576742655e-177,"2","Prf1"
1.51332308611331e-169,8.35978328345179,0.34,0.002,3.80282958309413e-165,"2","Xcl1"
4.6902819518752e-215,8.10178816310639,0.406,0.006,1.17862095168672e-210,"2","Gzma"
1.38413263740753e-173,8.04391584477586,0.332,0.002,3.47818690454138e-169,"2","Gm2682"
8.26393098780623e-141,8.0145757678311,0.289,0.003,2.07664321792583e-136,"2","Klre1"
9.27005606261288e-227,7.92633254571989,0.426,0.003,2.32947238797399e-222,"2","Fasl"
0,7.82952716602665,0.732,0.006,0,"2","Il2rb"
4.11179987424522e-210,7.6859992949102,0.394,0.004,1.03325419039908e-205,"2","Cxcr6"
1.43176304405527e-303,8.56806725083981,0.531,0.004,3.59787735340648e-299,"3","Fcrls"
1.46782950854268e-318,7.77915658105282,0.577,0.009,3.68850877201689e-314,"3","Pf4"
0,6.74379602081184,0.639,0.016,0,"3","Mrc1"
0,6.48954124937467,0.7,0.021,0,"3","Trem2"
0,6.44509317333519,0.879,0.023,0,"3","Ms4a7"
2.19092325451555e-254,6.34570453700433,0.475,0.011,5.50557104627211e-250,"3","Gpr34"
0,6.11356180788864,0.943,0.027,0,"3","C1qc"
0,6.00240699138524,0.948,0.027,0,"3","C1qa"
0,5.7076170367005,0.953,0.031,0,"3","C1qb"
2.13853580409354e-259,5.69490307838564,0.502,0.017,5.37392662210666e-255,"3","Ccl12"
1.08286822038275e-165,6.43170328569699,0.328,0.007,2.7211395509998e-161,"4","Ear2"
7.07618455547884e-163,5.80827655344153,0.331,0.01,1.77817441694628e-158,"4","Adgre4"
